"SurveyID","change.value","change.par","new.R0"
"Survey 1",9,"sigma_H_Dog",1.17382813234701
"Survey 1",9,"sigma_H_Goat/sheep",0.864144555140304
"Survey 1",9,"sigma_H_Pig",1.15205153684863
"Survey 1",9,"sigma_H_Poultry",1.15706376785454
"Survey 1",9,"sigma_H_Rodent",1.11330752757406
"Survey 1",10,"sigma_H_Cattle",1.17032043758295
"Survey 1",10,"sigma_H_Dog",1.1737981357523
"Survey 1",10,"sigma_H_Goat/sheep",0.858667997650191
"Survey 1",10,"sigma_H_Pig",1.15188376200137
"Survey 1",10,"sigma_H_Poultry",1.15689195162098
"Survey 1",10,"sigma_H_Rodent",1.11236575677537
"Survey 2",0.1,"beta_Cattle",1.45496480141666
"Survey 2",0.1,"beta_Dog",1.45439470279193
"Survey 2",0.1,"beta_Goat/sheep",1.4441003048132
"Survey 2",0.1,"beta_Pig",1.45509879414701
"Survey 2",0.1,"beta_Poultry",0.404182767301147
"Survey 2",0.1,"chi_H_Cattle",1.45497798625694
"Survey 2",0.1,"chi_H_Dog",1.45441754360818
"Survey 2",0.1,"chi_H_Goat/sheep",1.44506973385783
"Survey 2",0.1,"chi_H_Pig",1.45509979710417
"Survey 2",0.1,"chi_H_Poultry",0.613826180026468
"Survey 2",0.1,"phi",1.3240518574454
"Survey 2",0.2,"beta_Cattle",1.45496919637963
"Survey 2",0.2,"beta_Dog",1.45440231644781
"Survey 2",0.2,"beta_Goat/sheep",1.44436186528118
"Survey 2",0.2,"beta_Pig",1.45509912846615
"Survey 2",0.2,"beta_Poultry",0.489905374299115
"Survey 2",0.2,"chi_H_Cattle",1.45499263590834
"Survey 2",0.2,"chi_H_Dog",1.45445549130957
"Survey 2",0.2,"chi_H_Goat/sheep",1.44656250574861
"Survey 2",0.2,"chi_H_Pig",1.45510091150016
"Survey 2",0.2,"chi_H_Poultry",0.773759570470779
"Survey 2",0.2,"phi",1.3403193198762
"Survey 2",0.3,"beta_Cattle",1.45497652128189
"Survey 2",0.3,"beta_Dog",1.45441500576213
"Survey 2",0.3,"beta_Goat/sheep",1.44495178299557
"Survey 2",0.3,"beta_Pig",1.45509968566452
"Survey 2",0.3,"beta_Poultry",0.595351408592036
"Survey 2",0.3,"chi_H_Cattle",1.45500728537961
"Survey 2",0.3,"chi_H_Dog",1.45450999486422
"Survey 2",0.3,"chi_H_Goat/sheep",1.44783942783975
"Survey 2",0.3,"chi_H_Pig",1.45510202589524
"Survey 2",0.3,"chi_H_Poultry",0.899702816628249
"Survey 2",0.3,"phi",1.35447601145922
"Survey 2",0.4,"beta_Cattle",1.45498677606939
"Survey 2",0.4,"beta_Dog",1.45443401047377
"Survey 2",0.4,"beta_Goat/sheep",1.44591330668269
"Survey 2",0.4,"beta_Pig",1.45510046574187
"Survey 2",0.4,"beta_Poultry",0.714158645464238
"Survey 2",0.4,"chi_H_Cattle",1.45502193467075
"Survey 2",0.4,"chi_H_Dog",1.45456449596528
"Survey 2",0.4,"chi_H_Goat/sheep",1.44929918678235
"Survey 2",0.4,"chi_H_Pig",1.45510314028941
"Survey 2",0.4,"chi_H_Poultry",0.996271928604561
"Survey 2",0.4,"phi",1.36878213473164
"Survey 2",0.5,"beta_Cattle",1.45499996066649
"Survey 2",0.5,"beta_Dog",1.45448274339361
"Survey 2",0.5,"beta_Goat/sheep",1.44723240170335
"Survey 2",0.5,"beta_Pig",1.45510146869781
"Survey 2",0.5,"beta_Poultry",0.840188698173913
"Survey 2",0.5,"chi_H_Cattle",1.45503658378178
"Survey 2",0.5,"chi_H_Dog",1.45464611608742
"Survey 2",0.5,"chi_H_Goat/sheep",1.45060757223806
"Survey 2",0.5,"chi_H_Pig",1.45510425468268
"Survey 2",0.5,"chi_H_Poultry",1.0806770357656
"Survey 2",0.5,"phi",1.3845855408118
"Survey 2",0.6,"beta_Cattle",1.45501607497591
"Survey 2",0.6,"beta_Dog",1.45454269581927
"Survey 2",0.6,"beta_Goat/sheep",1.44873278957172
"Survey 2",0.6,"beta_Pig",1.45510269453185
"Survey 2",0.6,"beta_Poultry",0.961664808863977
"Survey 2",0.6,"chi_H_Cattle",1.4550512327127
"Survey 2",0.6,"chi_H_Dog",1.45473887134403
"Survey 2",0.6,"chi_H_Goat/sheep",1.45180345075531
"Survey 2",0.6,"chi_H_Pig",1.45510536907504
"Survey 2",0.6,"chi_H_Poultry",1.16611463096798
"Survey 2",0.6,"phi",1.39837294397016
"Survey 2",0.7,"beta_Cattle",1.45503511887879
"Survey 2",0.7,"beta_Dog",1.45463684020008
"Survey 2",0.7,"beta_Goat/sheep",1.45047463245356
"Survey 2",0.7,"beta_Pig",1.45510414324339
"Survey 2",0.7,"beta_Poultry",1.07278704394397
