"variable","importance","rep"
"mu_T",0.0318886757924671,9
"phi",0.107880966276535,9
"chi_H",0.219827852496214,9
"beta",0.221964254092149,9
"gamma_H",0.0114996931540933,9
"sigma_H",0.0349524840448312,9
"mu_H",0.0754933465118284,9
"v_H",0.0130845042826065,9
"mu_T",0.032550612538001,10
"phi",0.107741777210305,10
"chi_H",0.219324025514667,10
"beta",0.220888659846248,10
"gamma_H",0.011710344690148,10
"sigma_H",0.0344192311246112,10
"mu_H",0.0760915880406697,10
"v_H",0.0129859151513889,10
"mu_T",0.0322806037648925,11
"phi",0.108281309752282,11
"chi_H",0.221062504419083,11
"beta",0.220643880337351,11
"gamma_H",0.0108243606993406,11
"sigma_H",0.0349320787457959,11
"mu_H",0.0764550447302671,11
"v_H",0.0136957972948425,11
"mu_T",0.0322374067472162,12
"phi",0.107724999648707,12
"chi_H",0.217108074195049,12
"beta",0.219076551125375,12
"gamma_H",0.0116885557748209,12
"sigma_H",0.0348591039094041,12
"mu_H",0.0746833908024722,12
"v_H",0.0129820678572635,12
"mu_T",0.0327689340154909,13
"phi",0.108648606410246,13
"chi_H",0.219031778043253,13
"beta",0.219445754254712,13
"gamma_H",0.0113424669164344,13
"sigma_H",0.0345378215468493,13
"mu_H",0.0740642718884832,13
"v_H",0.013329476443536,13
"mu_T",0.0317113742051567,14
"phi",0.10762487780706,14
"chi_H",0.223650089651914,14
"beta",0.223200228478945,14
"gamma_H",0.010875696811386,14
"sigma_H",0.0336990318175442,14
"mu_H",0.0736417778350916,14
"v_H",0.0130363675237089,14
"mu_T",0.0328789094393773,15
"phi",0.107641534690698,15
"chi_H",0.221670412831107,15
"beta",0.226106257703394,15
"gamma_H",0.0113975915770654,15
"sigma_H",0.0355129390724192,15
"mu_H",0.0729630336635116,15
"v_H",0.013338689795512,15
"mu_T",0.0328483104578099,16
"phi",0.108295398574587,16
"chi_H",0.220155951934747,16
"beta",0.224902281010248,16
"gamma_H",0.0111243842548294,16
"sigma_H",0.0343368641660459,16
"mu_H",0.0764985504826911,16
"v_H",0.0134845428243992,16
"mu_T",0.0321690076550906,17
"phi",0.108307433592878,17
"chi_H",0.22023650026155,17
"beta",0.220582344062507,17
"gamma_H",0.0110886207962264,17
"sigma_H",0.0337934389573263,17
"mu_H",0.0744032405365498,17
"v_H",0.012739386425906,17
"mu_T",0.032999689930514,18
"phi",0.107266030753972,18
"chi_H",0.221179510612112,18
"beta",0.22356024094451,18
"gamma_H",0.0112498140756292,18
"sigma_H",0.0348335690773248,18
"mu_H",0.0737067762814326,18
"v_H",0.0128438842679814,18
"mu_T",0.0327766820403224,19
"phi",0.107445603070552,19
"chi_H",0.219301016458132,19
"beta",0.224147391672319,19
"gamma_H",0.0110597250888999,19
"sigma_H",0.0342212563725466,19
"mu_H",0.0766432135184598,19
"v_H",0.0129673880531365,19
"mu_T",0.0331781626586621,20
"phi",0.107889158175003,20
"chi_H",0.218581778602013,20
"beta",0.221042301969008,20
"gamma_H",0.0119253348538173,20
"sigma_H",0.034934952292366,20
"mu_H",0.0724144817697281,20
"v_H",0.0132313287685658,20
"mu_T",0.0318032350653596,21
"phi",0.107125130086878,21
"chi_H",0.218557055161458,21
"beta",0.218382849935218,21
"gamma_H",0.0114124641455681,21
"sigma_H",0.0333027161776576,21
"mu_H",0.0750830005680516,21
"v_H",0.0134589578138744,21
"mu_T",0.033248744596585,22
"phi",0.10833625854445,22
"chi_H",0.219035928878293,22
"beta",0.221166024325614,22
"gamma_H",0.0115117070328741,22
"sigma_H",0.0345220550404745,22
"mu_H",0.075067021115085,22
"v_H",0.0132887291490173,22
"mu_T",0.0330540440722112,23
"phi",0.108116341589896,23
"chi_H",0.216293530468154,23
"beta",0.220382904842755,23
"gamma_H",0.0111714332638587,23
"sigma_H",0.034762547516307,23
"mu_H",0.0740651953374792,23
"v_H",0.0131925774169852,23
"mu_T",0.0335648191871029,24
"phi",0.107860403274993,24
"chi_H",0.220263901649308,24
"beta",0.219426513500668,24
"gamma_H",0.011196622888991,24
"sigma_H",0.0344670071594668,24
"mu_H",0.0767208108611378,24
"v_H",0.0133817376507654,24
"mu_T",0.0324654451539001,25
"phi",0.107485990713331,25
"chi_H",0.211873411152113,25
"beta",0.218807550119901,25
"gamma_H",0.0114601962930949,25
"sigma_H",0.0343352104186179,25
"mu_H",0.0734021018808398,25
"v_H",0.0132870127955377,25
